J/Q-B/R/R/C [0.20, 0.20, 0.20, 0.20, 0.20]
J/Q-c/B/C/B [0.00, 0.00, 0.00, 0.05, 0.95]
J/Q-c/B/C/c [0.20, 0.20, 0.20, 0.20, 0.20]
J/Q-c/B/R/C [0.20, 0.20, 0.20, 0.20, 0.20]
J/Q-c/c/B/R [0.01, 0.01, 0.01, 0.41, 0.57]
J/Q-c/c/c/B [0.00, 0.00, 0.00, 0.03, 0.97]
K/K-B/C/B/R [0.93, 0.00, 0.00, 0.07, 0.00]
K/K-B/C/c/B [0.00, 0.00, 0.00, 1.00, 0.00]
K/K-B/R/C/B [0.26, 0.00, 0.00, 0.74, 0.00]
K/K-B/R/C/c [0.00, 0.85, 0.15, 0.00, 0.00]
K/K-B/R/R/C [0.00, 0.57, 0.43, 0.00, 0.00]
K/K-c/B/C/B [0.01, 0.00, 0.00, 0.99, 0.00]
K/K-c/B/C/c [0.00, 0.99, 0.01, 0.00, 0.00]
K/K-c/B/R/C [0.00, 0.81, 0.19, 0.00, 0.00]
K/K-c/c/B/R [0.03, 0.00, 0.00, 0.97, 0.00]
K/K-c/c/c/B [0.00, 0.00, 0.00, 1.00, 0.00]
J/J-B/C/B/R [1.00, 0.00, 0.00, 0.00, 0.00]
J/J-B/C/c/B [0.00, 0.00, 0.00, 1.00, 0.00]
J/J-B/R/C/B [0.00, 0.00, 0.00, 1.00, 0.00]
J/J-B/R/C/c [0.00, 1.00, 0.00, 0.00, 0.00]
J/J-B/R/R/C [0.00, 1.00, 0.00, 0.00, 0.00]
